Customer ID,Gender,Senior Citizen,tenure,Contract,Internet Service,Online Security,Premium Tech Support,MonthlyCharges,TotalCharges,Churn
5609-CEBID,Female,Yes,20,Month-to-Month,Yes,No,No,94.1,1782.4,Yes
5956-VKDTT,Female,Yes,5,Month-to-Month,Yes,No,No,74.35,334.8,Yes
0257-ZESQC,Female,Yes,27,Month-to-Month,Yes,Yes,No,75.2,1929.35,Yes
2865-TCHJW,Female,Yes,4,Month-to-Month,Yes,No,No,89.2,346.2,Yes
5192-EBGOV,Female,Yes,1,Month-to-Month,Yes,No,No,85.7,85.7,Yes
3419-SNJJD,Female,Yes,65,Month-to-Month,Yes,Yes,No,105.25,6786.4,Yes
4554-YGZIH,Male,Yes,49,Month-to-Month,Yes,No,No,90.05,4547.25,Yes
5099-BAILX,Male,Yes,43,Month-to-Month,Yes,No,Yes,110.75,4687.9,Yes
4913-EHYUI,Male,Yes,56,One Year,Yes,Yes,No,104.55,5794.65,Yes
1626-ERCMM,Male,Yes,20,Month-to-Month,Yes,No,No,94.55,1899.65,Yes
5644-PDMZC,Female,Yes,2,Month-to-Month,Yes,No,No,89.5,161.5,Yes
4160-AMJTL,Female,Yes,8,Month-to-Month,No,No,No,19.65,164.3,Yes
0823-HSCDJ,Male,Yes,52,Month-to-Month,Yes,No,No,49.15,2550.9,Yes
0067-DKWBL,Male,Yes,2,Month-to-Month,Yes,Yes,No,49.25,91.1,Yes
5244-IRFIH,Male,Yes,33,Month-to-Month,Yes,No,No,94.5,3105.55,Yes
2684-EIWEO,Female,Yes,30,Month-to-Month,Yes,Yes,No,91.7,2758.15,Yes
6683-VLCTZ,Male,Yes,20,Month-to-Month,Yes,No,No,98.55,1842.8,Yes
0691-IFBQW,Female,Yes,46,One Year,Yes,Yes,No,110,4874.8,Yes
3643-AHCFP,Male,Yes,7,Month-to-Month,Yes,No,No,95.6,644.35,Yes
9231-ZJYAM,Female,Yes,4,Month-to-Month,Yes,No,No,78.85,292.8,Yes
0727-BMPLR,Female,Yes,55,One Year,Yes,No,No,100,5509.3,Yes
0947-MUGVO,Male,Yes,20,Month-to-Month,Yes,No,No,73.65,1463.5,Yes
0781-LKXBR,Male,Yes,9,Month-to-Month,Yes,No,No,100.5,918.6,Yes
1907-UBQFC,Male,Yes,10,Month-to-Month,Yes,No,No,72.85,688.65,Yes
6513-EECDB,Male,Yes,1,Month-to-Month,Yes,No,No,73.55,73.55,Yes
7074-IEVOJ,Female,Yes,3,Month-to-Month,Yes,No,No,79.4,205.05,Yes
4750-ZRXIU,Female,Yes,4,Month-to-Month,Yes,No,No,84.6,360.1,Yes
7028-DVOIQ,Male,Yes,35,Month-to-Month,Yes,No,No,99.05,3395.8,Yes
4208-UFFGW,Male,Yes,2,Month-to-Month,Yes,No,No,44.95,85.15,Yes
9889-TMAHG,Male,Yes,8,Month-to-Month,Yes,Yes,Yes,100.3,832.35,Yes
8919-FYFQZ,Male,Yes,44,Month-to-Month,Yes,No,No,30.35,1359.7,Yes
6646-QVXLR,Male,Yes,62,One Year,Yes,No,No,103.75,6383.35,Yes
9369-XFEHK,Female,Yes,33,Month-to-Month,Yes,No,No,80.6,2656.5,Yes
1374-DMZUI,Female,Yes,4,Month-to-Month,Yes,No,No,94.3,424.45,Yes
1989-PRJHP,Male,Yes,27,Month-to-Month,Yes,No,No,75.5,1893.95,Yes
4822-RVYBB,Male,Yes,8,Month-to-Month,Yes,No,No,100.6,819.4,Yes
4184-TJFAN,Female,Yes,3,Month-to-Month,Yes,Yes,Yes,88.3,273.75,Yes
4145-UQXUQ,Female,Yes,8,Month-to-Month,Yes,No,No,92.1,729.95,Yes
1236-WFCDV,Male,Yes,14,Month-to-Month,Yes,No,No,90.45,1266.1,Yes
1271-SJBGZ,Male,Yes,12,Month-to-Month,Yes,No,Yes,43.65,526.95,Yes
4441-NIHPT,Female,Yes,13,Month-to-Month,Yes,No,No,74.3,940.35,Yes
8999-BOHSE,Female,Yes,11,Month-to-Month,Yes,No,No,89.7,1047.7,Yes
7029-RPUAV,Male,Yes,17,Month-to-Month,Yes,No,No,100.45,1622.45,Yes
8111-SLLHI,Male,Yes,39,Month-to-Month,Yes,No,No,105.65,4284.8,Yes
5293-WXJAK,Female,Yes,11,Month-to-Month,Yes,No,Yes,104.05,1133.65,Yes
4086-YQSNZ,Female,Yes,3,Month-to-Month,Yes,No,No,80.4,224.05,Yes
8399-YNDCH,Male,Yes,21,Month-to-Month,Yes,No,No,60.05,1236.15,Yes
5565-FILXA,Female,Yes,16,Month-to-Month,Yes,No,No,96.15,1529.2,Yes
4187-CINZD,Female,Yes,46,One Year,Yes,No,No,95.25,4424.2,Yes
6818-WOBHJ,Female,Yes,68,Month-to-Month,Yes,No,No,89.6,6127.6,Yes
9134-CEQMF,Male,Yes,7,Month-to-Month,Yes,No,No,89.5,676.7,Yes
8519-IMDHU,Male,Yes,15,Month-to-Month,Yes,No,No,85.6,1345.55,Yes
3372-KWFBM,Male,Yes,16,Month-to-Month,Yes,No,No,86.6,1281,Yes
7206-GZCDC,Female,Yes,1,Month-to-Month,Yes,No,No,69.25,69.25,Yes
1768-ZAIFU,Female,Yes,1,Month-to-Month,Yes,No,No,25.2,25.2,Yes
3793-MMFUH,Female,Yes,13,Month-to-Month,Yes,No,No,95.05,1290,Yes
6567-HOOPW,Female,Yes,1,Month-to-Month,Yes,No,No,79.2,79.2,Yes
8621-MNIHH,Female,Yes,34,Month-to-Month,Yes,No,No,94.25,3217.55,Yes
5419-CONWX,Female,Yes,4,Month-to-Month,Yes,No,No,99.8,442.85,Yes
7024-OHCCK,Female,Yes,2,Month-to-Month,Yes,No,No,93.85,170.85,Yes
5357-TZHPP,Male,Yes,9,Month-to-Month,Yes,No,No,84.4,732.5,Yes
0506-LVNGN,Female,Yes,5,Month-to-Month,Yes,No,No,75.55,349.65,Yes
9809-IMGCQ,Male,Yes,22,Month-to-Month,Yes,No,No,96.7,2082.95,Yes
3254-YRILK,Male,Yes,19,Month-to-Month,Yes,No,No,88.2,1775.8,Yes
0529-ONKER,Male,Yes,15,Month-to-Month,Yes,No,No,75.65,1146.65,Yes
5240-IJOQT,Male,Yes,1,Month-to-Month,Yes,No,No,74.7,74.7,Yes
0661-XEYAN,Female,Yes,1,Month-to-Month,Yes,No,No,25.8,25.8,Yes
2660-EMUBI,Male,Yes,10,Month-to-Month,Yes,No,No,95.35,898.35,Yes
7675-OZCZG,Female,Yes,3,Month-to-Month,Yes,No,No,45,127.1,Yes
9391-EOYLI,Male,Yes,12,Month-to-Month,Yes,No,No,80.45,950.2,Yes
2761-OCIAX,Male,Yes,2,Month-to-Month,Yes,No,No,74.7,165.4,Yes
3068-OMWZA,Male,Yes,1,Month-to-Month,Yes,No,No,88.8,88.8,Yes
4154-AQUGT,Male,Yes,13,Month-to-Month,Yes,No,Yes,89.05,1169.35,Yes
8017-LXHFA,Female,Yes,23,Month-to-Month,Yes,No,No,94.75,2293.6,Yes
4248-QPAVC,Female,Yes,17,Month-to-Month,Yes,Yes,No,85.35,1463.45,Yes
4690-LLKUA,Male,Yes,17,Month-to-Month,Yes,No,No,45.05,770.6,Yes
9490-DFPMD,Female,Yes,42,Month-to-Month,Yes,No,No,84.65,3541.35,Yes
8580-AECUZ,Male,Yes,1,Month-to-Month,Yes,No,No,79.1,79.1,Yes
5047-LHVLY,Male,Yes,1,Month-to-Month,Yes,No,No,50.15,50.15,Yes
8375-DKEBR,Female,Yes,1,Month-to-Month,Yes,No,No,69.6,69.6,Yes
7279-BUYWN,Female,Yes,41,Month-to-Month,Yes,Yes,No,113.2,4689.5,Yes
7156-MHUGY,Male,Yes,13,Month-to-Month,Yes,No,No,90.5,1201.15,Yes
9606-PBKBQ,Male,Yes,32,Month-to-Month,Yes,No,No,85,2642.05,Yes
3536-IQCTX,Male,Yes,32,Month-to-Month,Yes,No,No,85.3,2661.1,Yes
3132-TVFDZ,Male,Yes,57,Month-to-Month,Yes,No,No,44.85,2572.95,Yes
8080-DDEMJ,Male,Yes,1,Month-to-Month,Yes,No,No,45.1,45.1,Yes
6702-OHFWR,Male,Yes,1,Month-to-Month,Yes,No,No,43.3,43.3,Yes
4510-PYUSH,Female,Yes,38,Month-to-Month,Yes,Yes,No,57.15,2250.65,Yes
8840-DQLGN,Female,Yes,35,Month-to-Month,Yes,Yes,Yes,100.5,3653.35,Yes
4193-ORFCL,Female,Yes,1,Month-to-Month,Yes,No,No,45.1,45.1,Yes
7776-QWNFX,Male,Yes,30,Month-to-Month,Yes,No,No,50.4,1527.5,Yes
6689-TCZHQ,Female,Yes,5,Month-to-Month,Yes,No,No,78.95,378.4,Yes
9497-QCMMS,Male,Yes,1,Month-to-Month,Yes,No,No,93.55,93.55,Yes
3424-NMNBO,Male,Yes,58,One Year,Yes,Yes,No,108.85,6287.25,Yes
4514-GFCFI,Female,Yes,16,Month-to-Month,Yes,No,No,84.75,1350.15,Yes
8000-REIQB,Female,Yes,1,Month-to-Month,Yes,No,No,69.95,69.95,Yes
4795-KTRTH,Female,Yes,5,Month-to-Month,Yes,No,No,81,371.65,Yes
9961-JBNMK,Male,Yes,21,Month-to-Month,Yes,No,No,96.8,2030.3,Yes
6179-GJPSO,Female,Yes,43,Month-to-Month,Yes,Yes,Yes,108.15,4600.7,Yes
8290-YWKHZ,Female,Yes,32,Month-to-Month,Yes,No,No,93.2,2931,Yes
8051-HJRLT,Female,Yes,1,Month-to-Month,Yes,No,No,70.55,70.55,Yes
4021-RQSNY,Male,Yes,29,Month-to-Month,Yes,No,No,98.5,3004.15,Yes
9061-TIHDA,Male,Yes,13,Month-to-Month,Yes,No,No,95.25,1233.65,Yes
8699-ASUFO,Male,Yes,7,Month-to-Month,Yes,No,No,74.4,527.9,Yes
4695-WJZUE,Female,Yes,2,Month-to-Month,Yes,No,No,88.55,179.25,Yes
3988-RQIXO,Female,Yes,1,Month-to-Month,Yes,No,No,91.3,91.3,Yes
5931-FLJJF,Male,Yes,7,Month-to-Month,Yes,No,No,70.1,467.55,Yes
3207-OYBWH,Male,Yes,57,Month-to-Month,Yes,No,No,95.25,5427.05,Yes
7216-EWTRS,Female,Yes,1,Month-to-Month,Yes,No,No,100.8,100.8,Yes
2528-HFYZX,Male,Yes,17,Month-to-Month,Yes,No,No,76.45,1233.4,Yes
4140-MUHUG,Female,Yes,3,Month-to-Month,Yes,No,No,86.85,220.95,Yes
1587-FKLZB,Male,Yes,66,Month-to-Month,Yes,No,No,99.5,6822.15,Yes
5440-FLBQG,Male,Yes,69,Two Year,Yes,No,Yes,108.4,7318.2,Yes
2774-LVQUS,Female,Yes,15,Month-to-Month,Yes,No,Yes,83.05,1258.3,Yes
4612-THJBS,Female,Yes,56,One Year,Yes,No,No,104.75,5510.65,Yes
4094-NSEDU,Female,Yes,21,Month-to-Month,Yes,No,No,94.25,1973.75,Yes
1846-XWOQN,Female,Yes,1,Month-to-Month,Yes,No,No,70.15,70.15,Yes
3757-NJYBX,Male,Yes,32,Month-to-Month,Yes,No,No,106.35,3520.75,Yes
9898-KZQDZ,Female,Yes,40,Month-to-Month,Yes,No,No,94.55,3640.45,Yes
8263-JQAIK,Male,Yes,2,Month-to-Month,Yes,No,No,24.45,47.5,Yes
2205-YMZZJ,Male,Yes,7,Month-to-Month,Yes,No,No,84.8,546.95,Yes
1254-IZEYF,Female,Yes,31,Month-to-Month,Yes,No,No,99.95,3186.65,Yes
9221-OTIVJ,Female,Yes,14,Month-to-Month,Yes,No,No,104.85,1531.4,Yes
5908-QMGOE,Male,Yes,15,Month-to-Month,Yes,No,No,74.2,1133.9,Yes
0397-GZBBC,Male,Yes,59,Month-to-Month,Yes,No,No,93.85,5574.75,Yes
7641-EUYET,Male,Yes,46,Month-to-Month,Yes,Yes,No,100.7,4541.2,Yes
8922-LIEGH,Female,Yes,25,Month-to-Month,Yes,No,No,89.7,2187.55,Yes
8245-UMPYT,Female,Yes,16,Month-to-Month,Yes,No,No,96.4,1581.2,Yes
5186-SAMNZ,Male,Yes,1,Month-to-Month,Yes,No,No,69.5,69.5,Yes
5373-SFODM,Male,Yes,36,Month-to-Month,Yes,No,No,85.25,3132.75,Yes
0022-TCJCI,Male,Yes,45,One Year,Yes,Yes,No,62.7,2791.5,Yes
5130-IEKQT,Male,Yes,25,Month-to-Month,Yes,No,No,105.95,2655.25,Yes
3269-ATYWD,Male,Yes,39,Month-to-Month,Yes,No,No,95.65,3759.05,Yes
0354-WYROK,Female,Yes,31,Month-to-Month,Yes,No,Yes,98.9,2911.3,Yes
7576-OYWBN,Male,Yes,3,Month-to-Month,Yes,No,No,76.05,231.8,Yes
5539-TMZLF,Male,Yes,1,Month-to-Month,Yes,No,No,69.75,69.75,Yes
3336-JORSO,Female,Yes,33,Month-to-Month,Yes,No,Yes,110.45,3655.45,Yes
6861-XWTWQ,Male,Yes,7,Month-to-Month,Yes,No,No,99.25,665.45,Yes
4283-FUTGF,Male,Yes,19,Month-to-Month,Yes,No,No,79.85,1471.75,Yes
2397-BRLOM,Male,Yes,8,Month-to-Month,Yes,No,No,80.45,583.45,Yes
8510-AWCXC,Female,Yes,13,Month-to-Month,Yes,Yes,No,100.8,1308.1,Yes
8225-BTJAU,Male,Yes,10,Month-to-Month,Yes,No,No,79.25,793.55,Yes
1724-BQUHA,Male,Yes,5,Month-to-Month,Yes,No,No,89.5,477.7,Yes
4826-XTSOH,Male,Yes,1,Month-to-Month,Yes,No,No,86.05,86.05,Yes
2408-WITXK,Female,Yes,10,Month-to-Month,Yes,No,No,34.7,329.8,Yes
2634-HCZGT,Male,Yes,53,One Year,Yes,Yes,Yes,60.05,3229.65,Yes
7503-QQRVF,Male,Yes,16,Month-to-Month,Yes,No,No,74.3,1178.25,Yes
0709-TVGUR,Female,Yes,9,Month-to-Month,Yes,No,No,74.55,622.9,Yes
3001-CBHLQ,Male,Yes,32,Month-to-Month,Yes,No,Yes,104.9,3351.55,Yes
4102-OQUPX,Male,Yes,1,Month-to-Month,Yes,No,No,74.4,74.4,Yes
3999-QGRJH,Male,Yes,8,Month-to-Month,Yes,No,No,69.7,560.85,Yes
2454-RPBRZ,Female,Yes,12,Month-to-Month,Yes,No,No,98.1,1060.2,Yes
2265-CYWIV,Female,Yes,4,Month-to-Month,Yes,Yes,No,99.6,347.65,Yes
4550-VBOFE,Male,Yes,70,Month-to-Month,Yes,No,No,102.95,7101.5,Yes
7409-KIUTL,Female,Yes,1,Month-to-Month,Yes,No,No,71,71,Yes
1732-VHUBQ,Female,Yes,47,Month-to-Month,Yes,No,No,70.55,3309.25,Yes
0679-IDSTG,Female,Yes,1,Month-to-Month,Yes,No,No,69.25,69.25,Yes
8802-UNOJF,Male,Yes,12,Month-to-Month,Yes,No,Yes,83.8,1029.75,Yes
6313-GIDIT,Male,Yes,53,Month-to-Month,Yes,No,No,54.45,2854.55,Yes
2845-AFFTX,Male,Yes,41,Month-to-Month,Yes,No,No,99.8,4259.3,Yes
2815-CPTUL,Male,Yes,5,Month-to-Month,Yes,No,No,70.25,331.9,Yes
1891-FZYSA,Male,Yes,69,Month-to-Month,Yes,No,No,89.95,6143.15,Yes
9685-WKZGT,Male,Yes,14,Month-to-Month,Yes,No,No,74.95,1036.75,Yes
6022-UGGSO,Female,Yes,32,Month-to-Month,Yes,No,No,74.4,2276.95,Yes
3923-CSIHK,Female,Yes,50,Month-to-Month,Yes,No,No,71.05,3444.85,Yes
3677-IYRBF,Female,Yes,2,Month-to-Month,Yes,No,No,30.4,78.65,Yes
8118-LSUEL,Male,Yes,23,Month-to-Month,Yes,No,No,106.4,2483.5,Yes
5277-ZLOOR,Female,Yes,2,Month-to-Month,Yes,No,No,85.55,187.45,Yes
4248-HCETZ,Male,Yes,30,Month-to-Month,Yes,No,No,79.65,2365.15,Yes
9174-FKWZE,Female,Yes,1,Month-to-Month,No,No,No,19.45,19.45,Yes
5307-DZCVC,Female,Yes,32,Month-to-Month,Yes,No,No,85.95,2628.6,Yes
8679-JOEVF,Female,Yes,16,Month-to-Month,Yes,No,Yes,59.4,1023.9,Yes
4803-AXVYP,Female,Yes,38,Month-to-Month,Yes,No,Yes,99.55,3734.25,Yes
5649-ANRML,Male,Yes,2,Month-to-Month,Yes,No,Yes,95.1,180.25,Yes
7395-IGJOS,Male,Yes,17,Month-to-Month,Yes,No,No,81.5,1329.2,Yes
7890-VYYWG,Male,Yes,3,Month-to-Month,Yes,No,No,36.45,93.7,Yes
9907-SWKKF,Female,Yes,1,Month-to-Month,Yes,No,No,25.05,25.05,Yes
6397-JNZZG,Female,Yes,43,Month-to-Month,Yes,No,No,55.55,2342.2,Yes
7779-LGOVN,Male,Yes,10,Month-to-Month,Yes,No,No,86.65,856.65,Yes
9710-ZUSHQ,Female,Yes,37,Month-to-Month,Yes,Yes,No,106.75,4056.75,Yes
3902-FOIGH,Male,Yes,12,Month-to-Month,Yes,No,No,101.35,1218.55,Yes
3318-OSATS,Male,Yes,35,Month-to-Month,Yes,No,No,95.45,3474.05,Yes
2636-ALXXZ,Female,Yes,1,Month-to-Month,Yes,No,No,69.6,69.6,Yes
9885-CSMWE,Female,Yes,1,Month-to-Month,Yes,No,No,78.45,78.45,Yes
8058-JMEQO,Female,Yes,9,Month-to-Month,Yes,No,No,84.45,762.5,Yes
7657-DYEPJ,Male,Yes,38,One Year,Yes,No,Yes,70.15,2497.35,Yes
8276-MQBYC,Male,Yes,51,Month-to-Month,Yes,No,No,97.8,4913.3,Yes
6015-VVHHE,Female,Yes,5,Month-to-Month,Yes,No,No,83.15,446.05,Yes
2516-VQRRV,Female,Yes,2,Month-to-Month,Yes,No,No,75.45,158.4,Yes
7580-UGXNC,Female,Yes,2,Month-to-Month,Yes,Yes,No,54.85,104.2,Yes
5178-LMXOP,Male,Yes,1,Month-to-Month,Yes,No,No,95.1,95.1,Yes
7056-IMHCC,Male,Yes,53,Month-to-Month,Yes,No,No,101.9,5549.4,Yes
8749-JMNKX,Male,Yes,51,Month-to-Month,Yes,Yes,No,93.8,4750.95,Yes
0917-EZOLA,Male,Yes,72,Two Year,Yes,No,No,104.15,7689.95,Yes
8414-MYSHR,Male,Yes,5,Month-to-Month,Yes,No,No,91.4,449.75,Yes
4988-IQIGL,Male,Yes,1,Month-to-Month,Yes,No,No,75.35,75.35,Yes
4706-AXVKM,Female,Yes,11,Month-to-Month,Yes,No,No,84.8,906.85,Yes
5889-JTMUL,Female,Yes,50,Month-to-Month,Yes,No,No,95.05,4888.7,Yes
9026-RNUJS,Male,Yes,5,Month-to-Month,Yes,No,No,50.35,237.25,Yes
1624-NALOJ,Male,Yes,5,Month-to-Month,Yes,No,No,89.8,502.6,Yes
6210-KBBPI,Male,Yes,9,Month-to-Month,Yes,No,No,99.45,919.4,Yes
2260-USTRB,Female,Yes,2,Month-to-Month,Yes,No,No,70.2,115.95,Yes
8623-TMRBY,Male,Yes,51,Month-to-Month,Yes,No,No,84.2,4146.05,Yes
6900-PXRMS,Male,Yes,26,Month-to-Month,Yes,No,No,105.75,2710.25,Yes
3346-BRMIS,Female,Yes,18,Month-to-Month,Yes,No,No,48.35,810.7,Yes
2722-JMONI,Female,Yes,1,Month-to-Month,Yes,Yes,No,49.55,49.55,Yes
7579-OOPEC,Female,Yes,2,Month-to-Month,Yes,No,No,50.15,115.1,Yes
1771-OADNZ,Male,Yes,29,Month-to-Month,Yes,No,No,95.9,2745.2,Yes
0612-RTZZA,Female,Yes,1,Month-to-Month,Yes,No,No,25.25,25.25,Yes
4433-JCGCG,Male,Yes,46,Month-to-Month,Yes,No,No,101,4680.05,Yes
9488-HGMJH,Female,Yes,1,Month-to-Month,Yes,No,No,71.15,71.15,Yes
4818-QIUFN,Female,Yes,20,Month-to-Month,Yes,Yes,No,79.15,1520.9,Yes
6961-VCPMC,Male,Yes,46,Month-to-Month,Yes,No,No,80.4,3605.2,Yes
4424-TKOPW,Male,Yes,2,Month-to-Month,Yes,No,No,93.85,196.75,Yes
4201-JMNGR,Female,Yes,1,Month-to-Month,Yes,Yes,No,55.8,55.8,Yes
1866-RZZQS,Male,Yes,41,Month-to-Month,Yes,No,No,98.4,4187.75,Yes
8631-NBHFZ,Male,Yes,66,Two Year,Yes,Yes,Yes,79.4,5154.6,Yes
4958-XCBDQ,Male,Yes,35,Month-to-Month,Yes,No,No,101.4,3496.3,Yes
8337-UPOAQ,Male,Yes,10,Month-to-Month,Yes,No,No,89.8,914.3,Yes
6712-OAWRH,Female,Yes,26,Month-to-Month,Yes,No,No,91.25,2351.8,Yes
5914-DVBWJ,Female,Yes,18,Month-to-Month,Yes,No,Yes,85.45,1505.85,Yes
8644-XLFBW,Male,Yes,1,Month-to-Month,Yes,No,No,71.65,71.65,Yes
1833-VGRUM,Female,Yes,1,Month-to-Month,Yes,No,No,74.2,74.2,Yes
8374-XGEJJ,Male,Yes,43,Month-to-Month,Yes,No,No,101,4388.4,Yes
6946-LMSQS,Male,Yes,25,One Year,Yes,Yes,No,89.05,2177.45,Yes
4039-HEUNW,Male,Yes,36,Month-to-Month,Yes,No,No,96.5,3436.1,Yes
0812-WUPTB,Male,Yes,1,Month-to-Month,Yes,No,No,70.85,70.85,Yes
2403-BCASL,Male,Yes,41,One Year,Yes,No,Yes,111.95,4534.9,Yes
3871-IKPYH,Male,Yes,1,Month-to-Month,Yes,No,No,69.1,69.1,Yes
1304-NECVQ,Female,Yes,2,Month-to-Month,Yes,No,No,78.55,149.55,Yes
5655-JSMZM,Male,Yes,49,Month-to-Month,Yes,No,No,96.2,4718.25,Yes
4505-EXZHB,Female,Yes,6,Month-to-Month,Yes,No,No,74.4,434.1,Yes
8972-HJWNV,Female,Yes,7,Month-to-Month,Yes,No,No,84.55,646.85,Yes
2860-RANUS,Female,Yes,20,Month-to-Month,Yes,No,No,85.8,1727.5,Yes
0406-BPDVR,Female,Yes,54,One Year,Yes,No,No,101.5,5373.1,Yes
5276-KQWHG,Female,Yes,2,Month-to-Month,Yes,No,No,69.6,131.65,Yes
9667-EQRXU,Female,Yes,30,Month-to-Month,Yes,No,No,40.3,1172.95,Yes
0946-CLJTI,Male,Yes,58,Month-to-Month,Yes,No,No,98.7,5812.6,Yes
0324-BRPCJ,Female,Yes,68,Month-to-Month,Yes,No,No,100.2,6851.65,Yes
9189-JWSHV,Female,Yes,24,Month-to-Month,Yes,No,No,93.55,2264.05,Yes
0576-WNXXC,Male,Yes,27,Month-to-Month,Yes,No,No,95.55,2510.2,Yes
5482-PLVPE,Female,Yes,2,Month-to-Month,Yes,No,No,24.35,41.85,Yes
4902-OHLSK,Female,Yes,29,Month-to-Month,Yes,No,Yes,98.65,2862.75,Yes
0495-ZBNGW,Male,Yes,5,Month-to-Month,Yes,No,No,79.9,343.95,Yes
2357-COQEK,Female,Yes,28,Month-to-Month,Yes,No,Yes,103.3,2890.65,Yes
2034-CGRHZ,Male,Yes,24,Month-to-Month,Yes,No,No,102.95,2496.7,Yes
9360-AHGNL,Female,Yes,43,One Year,Yes,Yes,Yes,109.55,4830.25,Yes
5485-WUYWF,Male,Yes,2,Month-to-Month,Yes,Yes,No,66.4,94.55,Yes
2632-UCGVD,Male,Yes,66,Month-to-Month,Yes,No,Yes,100.05,6871.9,Yes
6425-YQLLO,Female,Yes,66,One Year,Yes,No,Yes,105.95,6975.25,Yes
2091-RFFBA,Female,Yes,31,Month-to-Month,Yes,No,No,73.9,2217.15,Yes
6899-PPEEA,Female,Yes,37,Month-to-Month,Yes,No,No,96.55,3580.3,Yes
4597-NUCQV,Male,Yes,24,Month-to-Month,Yes,No,No,101.25,2440.15,Yes
3754-DXMRT,Male,Yes,2,Month-to-Month,Yes,No,No,44.15,92.65,Yes
7130-VTEWQ,Female,Yes,8,Month-to-Month,Yes,No,No,75.75,606.25,Yes
7903-CMPEY,Male,Yes,1,Month-to-Month,Yes,Yes,No,80.3,80.3,Yes
1704-NRWYE,Female,Yes,9,Month-to-Month,Yes,No,No,80.85,751.65,Yes
7481-ATQQS,Female,Yes,49,Month-to-Month,Yes,No,No,90.85,4515.85,Yes
0023-HGHWL,Male,Yes,1,Month-to-Month,Yes,No,No,25.1,25.1,Yes
1792-UXAFY,Female,Yes,17,Month-to-Month,Yes,No,No,89.15,1496.9,Yes
6161-UUUTA,Male,Yes,3,Month-to-Month,Yes,No,No,79.9,260.9,Yes
6543-XRMYR,Female,Yes,30,Month-to-Month,Yes,No,No,99.7,2967.35,Yes
2479-BRAMR,Male,Yes,41,Month-to-Month,Yes,Yes,No,83.75,3273.55,Yes
3714-JTVOV,Female,Yes,42,Month-to-Month,Yes,Yes,No,74.15,3229.4,Yes
8580-QVLOC,Female,Yes,72,Two Year,Yes,Yes,Yes,92.45,6440.25,Yes
2012-NWRPA,Female,Yes,11,Month-to-Month,Yes,No,No,99.55,1131.2,Yes
